tweet_id,rag_context_text
615,[CUSTOMER] I'm sorry we've let you down! will you describe the issue? We'd love to help. ^TN
618,[CUSTOMER] We'd like to take a further look into this with you! ^AG
620,"[CUSTOMER] I am unable to affect your account via Twitter. For real time support, phone or chat use this link: ^CH"
622,"[CUSTOMER] Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS"
625,[CUSTOMER] Wir haben zu danken. Schönen Abend noch. ^JS
626,[CUSTOMER] I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ
629,[CUSTOMER] Thanks for your patience. ^KM
631,[CUSTOMER] I'm sorry your order arrived in this condition! Please reach out to us for available options: ^DG
633,[CUSTOMER] I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: ^SH
635,[CUSTOMER] Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE
637,[CUSTOMER] Were you able to reach us at the link DW provided? ^TR
639,"[CUSTOMER] The Echo Show is supported, please reach us for some live troubleshooting at your convenience: ^DW"
642,"[CUSTOMER] Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: ^SG"
644,[CUSTOMER] I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: ^SY
647,[CUSTOMER] You can also request a call back here Martin ^KM
648,[CUSTOMER] Thanks for bringing this to our attention! Please also leave packing feedback here: so we may improve.^KL
650,[CUSTOMER] Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: ^SH
653,"[CUSTOMER] Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL"
655,[CUSTOMER] Provide your details here: and my team will escalate the order to Amazon Logistics for feedback. ^EZ
656,[CUSTOMER] Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR
658,[CUSTOMER] I'm sorry your book arrived this way! You can find replacement/refund options here: ^VS
660,[CUSTOMER] ¡Que lindoooooooooo! 😍🐶🎃 ^JJ
663,[CUSTOMER] Oh no! Please contact us via phone/chat here: We're unable to view order details via Twitter. ^KL
665,[CUSTOMER] You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC
668,[CUSTOMER] Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: &amp; we'll be glad to help! ^FR
675,[CUSTOMER] That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: ^BN
680,[CUSTOMER] I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: ^WM
684,[CUSTOMER] Please share your details here: and I'll get back to you. 2/2 ^HD
687,[CUSTOMER] Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB
689,[CUSTOMER] Please report this to our support team here: and we'll look into this. 2/2 ^HD
692,[CUSTOMER] We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: ^MB
694,[CUSTOMER] I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: ^BN
1692,[CUSTOMER] Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ
1696,[CUSTOMER] I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: ^AG
1697,[CUSTOMER] Canceling your Prime membership can be done here: You'll be shown your estimated refund there. ^SK
1700,[CUSTOMER] Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ
1704,[CUSTOMER] It would be best if you get in touch with us by phone or chat.use this link to do so: ^CH
1705,[CUSTOMER] I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: ^LH
1707,[CUSTOMER] Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: ^KP
1709,[CUSTOMER] I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: ^BL
1711,[CUSTOMER] Thanks for reaching out to us! You can find info on adding household members here: ^MO
1714,[CUSTOMER] Sorry for the inconvenience! Check out how to manage your notifications here: ^SG
1716,[CUSTOMER] I'm sorry for the long wait; what is your current order status showing when you review it: ^WM
1719,"[CUSTOMER] Thank you for keeping us posted, Rachael! ^BA"
1720,"[CUSTOMER] I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA"
1723,"[CUSTOMER] We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB"
1725,[CUSTOMER] Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB
1727,[CUSTOMER] Thanks for the link. We are not a participating retailer to receive the bonus content. Details: ^BE
1734,[CUSTOMER] Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: ^LH
1737,"[CUSTOMER] in real time, Bry. When you can, please ring or chat in with us: ^BL"
1739,"[CUSTOMER] Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ^KL"
1742,[CUSTOMER] Sorry you're still having trouble! What error are you seeing when you try to use the app? ^JP
1743,"[CUSTOMER] Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ^AJ"
1746,[CUSTOMER] No problem! You may need to deregister the Kindle from the old account. You can see how here: ^AJ
1747,"[CUSTOMER] (2/2) Also, for your security, I'd recommend deleting the image, as it contains your tracking number. ^WT"
1749,[CUSTOMER] I'm so sorry! We'd like to make sure this is addressed. Please provide some details here: (1/2)
1750,[CUSTOMER] I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: ^FJ
2542,[CUSTOMER] How long has it been since you've e-mailed the seller? ^TR
2545,"[CUSTOMER] Please allow 48 hours for the seller to respond, Allen. Let us know how it works out and if we can help with anything else! ^CN"
2546,[CUSTOMER] We're unable to view any account information via Twitter. What's the current tracking shown here: ^AG
2548,[CUSTOMER] I'm sorry you haven't received it yet! Have you had an e-mail regarding the order? Please check junk/spam and let us know! ^TG
2550,"[CUSTOMER] Du kannst bei den Kategorien ""Bücher"" oder ""Bücher Fremdsprachig"" auswählen, wobei ersteres deinem Wunsch entspricht. Gruß ^JS"
2552,"[CUSTOMER] Hi, just a question at the beginning - do you prefer answers in German or English? ^NW"
2554,"[CUSTOMER] I'm so sorry for the late delivery, Kimmie! Our carriers can deliver until 8 PM, please keep us updated on its arrival. ^BE"
2557,[CUSTOMER] I'm sorry that it still hasn't arrived. Please contact us so that we can look into this together: ^EA
2558,[CUSTOMER] Hello! We'd love to help. Can you tell us a bit more about what's happening? ^EB
2560,[CUSTOMER] We'd like to take a closer look into this refund for you. Please reach us at: ^CC
2564,[CUSTOMER] I'm sorry it hasn't arrived! Please reach us here: so we can look into available options. ^SJ
2566,"[CUSTOMER] Most items are readily available for shipping; however, some aren't and may have a longer processing time than others. ^QJ"
2569,"[CUSTOMER] I would like someone from our team to take a look into this for you, Sanu. Please reach out here: ^LA"
2571,[CUSTOMER] Have you had a chance to speak with your bank regarding the refund? ^EA
2573,[CUSTOMER] When you last contacted us what information did we provide? Have you spoken with your bank to see if they have the refund? ^LR
2575,"[CUSTOMER] I'm sorry for the frustration! Without giving personal/account details, could you tell us a bit more about what's going on? ^DG"
2578,"[CUSTOMER] I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more info? ^AC"
2582,[CUSTOMER] We'd like to look deeper into this issue. Please provide us with more information here: ^LH
2583,[CUSTOMER] We're definitely here to help! Please reach out to us by phone here: ^SE
2585,[CUSTOMER] I'm sorry your order hasn't arrived yet! Please let us know if you haven't received it within 48 hours. ^EB
2587,[CUSTOMER] We'd like another chance to look into this. Please reach out by phone or chat: Please keep us updated. ^FJ
2592,[CUSTOMER] Have you tried deleting the card from the account and re-adding it? Have you reached out to USPS about these deliveries? ^AF
2595,[CUSTOMER] Can you tell us what insight / advice was provided with when you spoke with us last? We'd like to help if we can. ^BG
2599,"[CUSTOMER] Sorry for the poor experience. Without giving any account information, could you tell us what's going on? We'd love top help! ^MH"
3654,"[CUSTOMER] Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page: ^KI"
3722,"[CUSTOMER] When you have a moment, please reach out to us here: ^AC"
3725,[CUSTOMER] Is everything in your basket eligible? You can find more info here: Let us know if this helps! ^EB
3727,[CUSTOMER] I'm sorry for the trouble! Have you tried the steps outlined here? ^LA
